,b0_true,b0_estimate,lambda_true,lambda_estimate,ndt_true,ndt_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate,mu3_true,mu3_estimate
64,2.11660842543273,2.24619779691031,1.6006446466029522,1.905566867655179,0.8701947256853587,0.8863536627932675,1.602344882685811,1.628236550097962,1.9712729791409775,2.015550289159011,2.618091501217285,2.833847616956912
65,4.901789752020148,4.874437530725684,0.6915530876729388,0.6296416887232247,0.8673520247200913,0.8771621668854358,-1.5442501811787597,-1.421844004640184,0.1911858233253061,0.2250701090119207,2.1528468769868407,2.2236209386905594
66,2.023793258328287,2.330787185620903,1.1054566862851654,1.5743193882776296,0.9814415697022668,0.957032768313198,2.5716065256087712,2.539965723284717,-2.428450400653046,-2.4694867445875066,-1.9325494086775763,-1.67025883311228
67,3.878302877617692,3.0286231192879303,1.4247247238104173,1.1888867011198152,0.788257165141368,1.0,-0.3890581122332273,-0.3171606590925977,0.5112451695263076,0.5260457057152956,-1.0369861089395092,-1.0652499358594958
68,2.9632869150581387,3.0698931765327098,1.874885744285829,2.0,0.9714849003614674,0.9615062047886586,-1.4223573051168945,-1.3456341735877877,2.4640754876417037,2.252475261282595,-0.3973393821989688,-0.3865701327878905
69,2.743363889259725,2.824795541878584,1.9553771125491872,1.981201165183684,0.8649264429748799,0.8694517406422495,-0.0671327271116832,-0.2692282686578539,-2.804409254625285,-2.8109184809638297,-2.629836459197896,-2.851213651158629
70,2.870977754241946,3.87539529394052,1.0382646589920612,1.7419870902811576,0.3344498783587364,0.2227528234801467,1.2725147805333477,1.2530620864635016,-0.9122507730374898,-0.92982431612407,2.5178536440393096,2.4033763846723555
71,2.4637263131729226,2.209841464120192,1.2716822305444688,1.0246608315543495,0.4143231741734899,0.4633294731406166,-1.6926983878064314,-1.7351314492417955,1.6692572484701491,1.621030652959437,-0.4107630313752959,-0.4795181820813982
72,4.375613485092016,4.26013586728566,0.7024139701472359,0.8123447919048602,0.6808207355951144,0.7616994300435429,2.603924667178479,2.6374549396748543,1.628579675238472,1.7438764784803913,-1.6768509944023249,-1.7835988606349105
73,4.166603814746248,3.900970417739453,0.2230305272213297,0.1000072026999991,0.2052748747300048,0.2819476473363198,-0.950811249579424,-1.0785946696436437,-2.276966362855993,-2.372878132962314,-1.772274243622308,-1.7344102165507045
