,b0_true,b0_estimate,lambda_true,lambda_estimate,ndt_true,ndt_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate,mu3_true,mu3_estimate,mu4_true,mu4_estimate
0,4.763995419863731,4.904745193589376,1.5006986693857811,1.8321204225868557,0.32227980926168,0.3637697937029007,-2.3504036922264677,-2.438641728618937,1.8856370965718752,1.9111772071068216,-0.5386351184706895,-0.5208487028679029,2.917835919426807,2.9964170350093213
1,2.722195520489731,2.641223295443703,1.8966989383038084,1.7827092568111047,0.823120439154755,0.8436598798510837,-0.9505040792110808,-1.0369713805930338,-2.312404859265893,-2.3722783319028484,-1.0680136561808635,-1.1368434736588515,0.7851555339310885,0.7906414259736632
2,3.97367355041983,3.5203053191579734,0.4212973779708985,0.2538305488365091,0.1587325784677254,0.2567400611316455,-1.7384892905670053,-1.7522155154118453,0.4815773007659785,0.4727564409354842,1.3269705380208094,1.3572770492304445,0.0107804816573793,-0.0298008869069532
3,2.354320327236728,2.767241217775241,1.0621258627570025,1.6990384680308874,0.8285167974629709,0.7933504150449466,1.4775224782461902,1.5120278010894364,1.4208424115746725,1.2178462872284488,2.124922921844816,2.0310763042174464,-1.8318111257351264,-1.6498383072736265
4,2.30050634978411,2.432519104765392,1.5743712542677988,1.6130063510187875,0.9169573136238406,0.9018292479106942,0.8241925683119742,0.9007508446624248,0.2820090338396519,0.3364144768826531,1.918300938500896,1.959025058131675,-0.9635504353710028,-1.009349739274611
5,2.053649538537332,2.0390816007204906,0.9182194591213104,1.1220362722590245,0.1212808731221265,0.1471614976735608,-0.3278772688563838,-0.3618113301599318,2.764276368096085,2.8244512317107286,-1.0546986139487953,-1.0037792583505338,1.678749408427341,1.5807718161971147
6,2.499815025051456,2.557628805504072,1.68550429790619,2.0,0.950075636244274,0.9765578736292546,2.834947328707781,3.0,2.666305499299172,2.916157464518803,-0.9898770954485854,-1.1964254797310625,2.72654548077188,2.930599189889933
7,2.475590487401942,2.627513342061176,1.678448320388776,2.0,0.6680728157259124,0.677411121290419,-1.7842603919477726,-1.8572874139516384,1.92310371182404,2.016185336490381,-2.090140534443301,-2.13911512537386,2.0879519310316006,2.1989912696603136
8,3.810462198507549,3.802802577659501,0.1509680638264114,0.1651810032312844,0.8070365668470573,0.8507577722270758,0.4302862326450525,0.3704804100172082,-2.566560010383501,-2.572015499415184,1.655790582368373,1.6939650590270852,-1.6401617549472565,-1.7271412811134974
9,3.393171495044873,3.5292093778868634,1.700219329990171,1.7943141437351124,0.5004239528010983,0.4960407532335926,-1.603780679119128,-1.628894227899523,2.057598367222546,1.9888205429783796,-1.5836486593442367,-1.6334110044904515,-1.4183168554001413,-1.3777316720218482
10,3.61127213102896,3.667488185581152,1.920403078963282,2.0,0.7513007047430167,0.7626150871366077,-2.773818918530471,-2.818978018211282,0.1655750272922354,0.1928808040886021,1.3907674854656618,1.379957889670096,0.4788189134377132,0.4117302283979149
11,4.98387990725866,4.499138159375568,1.805576457252499,1.5004589408200577,0.2113140985025063,0.2967608531155051,-0.8264989844204897,-0.9279927019694444,-2.211754203005914,-2.348460288024633,2.3905247692971066,2.560880418170938,1.968778138204187,2.095698587585229
12,2.136581491248242,2.4063412503528783,0.1713537505701407,0.5944000376890786,0.2275944085143275,0.2062839117635323,2.611614168004591,2.6024296029462555,-2.5462229165114936,-2.38615231055198,0.6733754905745499,0.6289153025969763,1.0698390997695468,1.0154384934362015
13,4.858382207227851,4.559070017200317,1.318641121040332,1.2667290568100948,0.531749440583543,0.6168169521583862,-2.3096664010244066,-2.406059742003549,-1.1311667680258382,-1.1598141085835831,-0.0654456201274285,0.0013345543258301,-0.8725166528777653,-0.8681123591053626
14,4.453135159722561,4.787191449008596,1.592105703187919,2.0,0.4255911721894635,0.4270827544512598,2.913834880331194,3.0,1.8887788218719623,1.8291697400853628,-0.4465563101059948,-0.3817960695841077,-1.2472726281792306,-1.1474002586137373
15,3.58993721097336,3.977436100240372,0.3682623589213631,0.5939066158243733,0.1346154460423808,0.1052054775465214,1.567785528231972,1.581599626877075,-0.9595684861974974,-1.0228682237329298,-2.8510880231949707,-2.918083802890397,-1.56104307787624,-1.5788398058593311
16,4.558240327038039,4.199616199721861,1.8188439242621195,1.673457242615455,0.5452298038388981,0.6178754540030928,-1.0546311215303623,-1.0459858314012822,-2.2117506700775347,-2.286321605924448,2.1025674079734804,2.1262311572861394,-0.0752031630069107,-0.022186603201134
17,3.4157900603304503,3.544204766603025,0.6308170564275776,0.6586933321247128,0.7603028321767391,0.775901634171312,-2.042404154034947,-2.1336550707316357,-1.9121309092942709,-1.950711487082799,0.1124813360986971,0.1191997770540468,-0.7384768500033596,-0.8361724711836314
18,2.077771507833029,2.105559949313851,1.7198294718884009,2.0,0.1784384060936048,0.1998944166177799,-1.996682428813157,-2.207414643644743,1.890697809662256,1.9719146699294017,2.6140684114717727,2.6592134259445697,1.0581458041015517,1.1572616857748583
19,3.0464062261958005,4.123933960825518,0.2084153583091446,1.3709135954704503,0.4515453107414183,0.3502208321046573,-2.0231787452512573,-1.8497207680452017,-2.0627452832163238,-1.8731877618970825,2.34430194230391,2.1988118881969188,-2.776954639169043,-2.595416040354588
