,b0_true,b0_estimate,lambda_true,lambda_estimate,ndt_true,ndt_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate,mu3_true,mu3_estimate
172,4.33615205839622,4.4340154870968655,1.2271352575611485,1.2585850430612142,0.1476703915955899,0.1451058354096141,0.6773153667888128,0.6891294278085119,1.6902892850198843,1.6307029024409927,0.4987710803293874,0.4579141142922387
173,3.990199756313688,4.334851489547043,0.666822005232717,0.7398227284173264,0.9384447621092948,0.8881766070567614,-0.8914168013956412,-1.0249198577459144,1.7812969846021036,1.8727575672825465,2.266430967264701,2.295669362644201
174,4.522609918364622,4.572322309831559,0.1176317571701254,0.1766484326314022,0.9789188732274908,1.0,-0.0458733826554365,-0.0389092641974903,0.288906750856879,0.2728252254621524,2.209489943455781,2.1726252128480814
175,2.999933887398938,3.355657572594978,1.0248202125657249,1.614742995527975,0.1244949380953849,0.1119196979243242,-2.8791143884726687,-2.826481099631945,0.1211703100371837,0.1435400922186446,-2.1924157320224844,-2.1702872998856058
176,2.3306887376447363,2.766669205812448,0.978847905991326,1.1793100905247171,0.9798976978723264,0.8728967096638927,-0.8501918925334935,-0.7103273713179059,-0.2847418381202169,-0.1919798732709811,-0.5185334906611012,-0.4670234943371413
177,3.3862039811547096,3.316511518920246,1.3899018253166058,1.3373612935680086,0.4814043040883817,0.5090329876658137,1.8362674369706848,1.8940284294899044,0.0301969612336454,0.1429334000751385,2.2658442169195494,2.387430966078821
178,3.2769560018744395,3.468083180725203,0.9914346707828644,1.2290721836666687,0.2362041785638328,0.2218017670487198,1.3171178796575167,1.3413506794457937,-1.9085881599814447,-1.8112092343336863,1.5995118433341065,1.5868317558262834
179,3.712711879668407,4.113949634282195,0.4428670178394385,0.7710377681292668,0.3456770072616673,0.2981781519957764,2.778124374703013,2.7556259242378185,-0.4067770445703067,-0.3829737631496917,2.842562892749108,2.6873956552773706
180,3.3059907265764967,3.5631773607286297,1.250351087461564,1.4749162904641389,0.6280339754829877,0.5955355407163094,1.5322235714454606,1.468658619532913,0.0020426804345596,-0.0157382257616575,2.0611887013291192,1.9747787145776745
181,4.356173690832774,3.9561591723732943,0.6320544947311142,0.1411608184227836,0.1480283977668637,0.2025781051545453,-2.122471677867417,-2.326850824686141,-1.840546977056012,-1.8950083950142576,-2.3513414585975525,-2.521074981285212
182,2.399955335872395,2.563868830604248,0.951036025329575,0.9920318105775352,0.9328813793286468,0.8985929082814915,2.0394484890129987,1.8871660231577243,2.593308188225961,2.566750418421312,0.4619529165696445,0.483711615120894
183,3.69620984062317,4.017539990793511,1.3470659078459164,1.4981019734940753,0.9182244882727336,0.8768191871053377,1.877066762166784,1.8043502188359573,-2.3551247976007783,-2.316120048353123,-2.979164469638258,-2.922945524392036
184,2.205968699670402,2.176472502421642,0.4676272208771858,0.3686259576727774,0.6987873269221329,0.6926563681990143,0.2935908598191801,0.299871439371598,0.7565339559182371,0.6984057320003444,-2.537560599873592,-2.535295062388687
185,4.2663160625392536,4.621026204519868,0.8680460947285245,1.1083288911834988,0.4621833127874742,0.3856008495417761,-1.9909177799798905,-1.954141250304701,-2.150116931886191,-2.0487616670981046,-0.1480202449534113,-0.1385310980044453
186,4.809630242615364,3.8786286911377568,0.7982626347521331,0.3316783941409815,0.1464243558416492,0.3280009909514459,-0.6989235986509903,-0.779563614182976,-2.24337610878944,-2.5116355381657587,-2.0586117711964524,-2.247351697184157
