,threshold_true,threshold_estimate,ndt_true,ndt_estimate,eta_true,eta_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate
34,1.087112978674791,1.2023721409236503,0.8763422395765516,0.8592664596678414,0.3586189882842175,0.4603326478873034,-0.6465010585470321,-0.5979413858613283,0.1398564259899581,0.1141521709904115
35,2.0176121795882977,2.0040980717324484,0.9148678137687336,0.93141939141056,0.310821099333582,0.1,1.7203438190819005,1.7704458957836469,-2.330817464542387,-2.397035506461908
36,1.606486750226961,1.5854446813410807,0.5815164902235627,0.6045164365780782,0.999510076386498,1.0,0.6505773969859285,0.6790511871750097,0.2479005069057138,0.2644725097048969
37,2.767136683726675,2.9703272952268023,0.4894911738511154,0.4667308099903096,0.5732657242157019,0.6992679694668436,2.396597270244125,2.5,-0.0299161931348873,-0.00679091382964
38,2.1073522727116627,2.136061142148801,0.5108840118329624,0.5453863794972776,0.2570657889379714,0.5998720818984206,2.3164086957084367,2.5,-1.6596641393164695,-1.851196074534608
39,1.4898543605505994,1.5960609249446085,0.3718520398878561,0.3588550810611594,0.7683269244890298,0.87241026752899,1.1720554404748196,1.2855299723258151,0.5018357581395205,0.3522534191284621
40,1.438707067911447,1.3483909195455048,0.2830485152647802,0.3015904138038575,0.9125282802968948,0.5891090177415342,-0.9314808708570492,-0.8482338670543151,0.3280100546214909,0.3066339735480491
41,1.332361831618252,1.283615897536158,0.5650584471153344,0.57248047541611,0.8589369484149199,0.7267071365689387,1.348893212490715,1.2457167450726547,-0.9314303442416272,-0.7794600951479936
42,2.8204521752353617,2.731984806851373,0.95497806748564,0.9815989219853184,0.8701247323079654,0.7815712136035812,1.0737210888864497,1.0912030316142596,-0.0474341013945106,-0.1054218033090862
43,2.5143840077133177,2.917178349070196,0.3737088449940248,0.3287777520629382,0.5315084894216013,0.7164823084980392,0.1226326875538319,0.1787940994005364,1.9746250598669723,2.178674222916518
44,2.78461302700252,2.795131237076618,0.7151157813652653,0.7589716620473971,0.6569676015614568,0.7281734587923039,0.7986574797117374,0.8030518042705466,1.5038986424008327,1.607118330542796
45,2.533581240539701,2.556226109483939,0.8246596720637127,0.8394326073782102,0.4907277345248119,0.3852612988833305,-0.0287143406263129,-0.0792434596849022,-1.96135220981248,-2.004002242709569
46,2.5897766782316527,2.370240979131876,0.519273015473479,0.5802730161258549,0.6178568186187064,0.5042806552472193,0.679025143008396,0.6988530484120993,1.912208018273696,1.869210308558921
47,1.1517238126832594,1.2019891093088295,0.709525335426868,0.6950084603511213,0.3559557079086755,0.3928806880000569,1.6352659578171902,1.627857444976371,0.0261747360262454,-0.0891917508934639
48,2.1323320260496184,2.3941582587155423,0.3417893357152946,0.3570114057827928,0.6119945428578039,0.936440258331406,1.3050988568925788,1.5310356104200658,0.7741839587711641,0.954507168797945
49,1.4935631140534087,1.4760108188590904,0.7782584485433223,0.7882584153114787,0.8602728459612147,0.8452862066728324,0.5729719433374403,0.7351731129124189,-1.5715661255064406,-1.4784534433704266
50,1.7495055826890826,1.729734274611425,0.8310860624483157,0.8533103632497244,0.2329792291388602,0.1,-1.148190068780572,-1.0938203272897729,-1.889770600140856,-1.8605181572887888
51,2.2143651356457505,1.888872032380632,0.8021415147496634,0.8211416890017704,0.993284758872975,0.6285227801342039,-0.5499423492108324,-0.4318535769451149,-1.5912605135430224,-1.3118828226302213
52,1.8573590955267625,1.8585926450570267,0.5404577483311913,0.5604577983683572,0.6829383988210642,0.7738467283425201,1.0126998361728023,1.0122028637389362,1.1097299424191187,1.1369514823061777
53,1.3607533422364326,1.5043321285280866,0.4676149077298848,0.4646148973652114,0.6337746058205784,0.8624981135685428,2.1664323352703474,2.5,-0.8156544093416812,-0.8446053933363347
54,1.3125522904496638,1.372790520505282,0.4840428784214621,0.4765568576413303,0.649287393673325,0.8206274975142522,-1.7067626213686742,-1.765273649934139,0.8416225374275721,0.9415233953672888
55,2.963291156396523,2.961679677162231,0.3269063285500339,0.3255195252806826,0.3200549630829362,0.3009744634285158,-1.2379772496438823,-1.254115701751095,1.6766045544199932,1.6354596789084326
56,1.637123223136076,1.7736228877470903,0.8774317231826242,0.8692735322934789,0.6272027451569876,0.7570352314625468,0.1594293016666559,0.2113326213175562,1.3408443302002926,1.41577003561517
57,1.6283810827042695,1.485353014152334,0.266287052285718,0.2982869635837128,0.942162498523638,0.5939665477190006,-0.9756542527211935,-0.8626986259411162,-0.1157389688883991,-0.2247499340679952
58,1.8281747360097425,1.8805964939241369,0.5477143415250194,0.5317171282806171,0.1745636488889427,0.1,1.202712132540467,1.135752423062078,1.531187535209111,1.550556670341645
59,1.426130323030189,1.441075986578925,0.994752631011086,1.0,0.273124283777592,0.1,1.2101903985477218,1.141786980692446,1.9641621112100487,1.978975290356364
60,1.6369017254342,1.576105391623994,0.5861529598586079,0.5989881295067208,0.1818711872189599,0.1,-2.025489687185049,-2.0311485930434765,2.0897418826651,2.08208024456335
61,1.3538540687385008,1.361230681855011,0.8636791810722568,0.8669467138106268,0.5403656240851143,0.5736389048030649,0.5064746889951455,0.3922444644394812,0.4036431238514398,0.3952126587980333
62,2.0188987184572342,2.115943361824564,0.3950378348035138,0.36625744331258,0.9049645176924698,0.8428478316698602,1.817093503672044,1.7692559206451772,0.8134446422807939,0.7488290905549265
63,2.440595372110459,2.491992212457044,0.5321330753814042,0.5868621667614669,0.3564574636913061,0.5097771148942116,1.6846614373245723,1.77348965542861,-0.5064719675487372,-0.5129747925874298
64,1.4501416371125435,1.3982090432380871,0.6701917241621442,0.701889749320855,0.51993857045027,0.3723373252932199,0.5958627621102536,0.6389097816864342,1.4361622365586968,1.4427011940050047
65,1.83740536141666,1.915569268001996,0.6919823253146579,0.7186834917807204,0.1909079896862272,0.3948924137795347,-0.8517275642863997,-0.9007246996253176,-0.5871844205573645,-0.6306093369308173
66,2.8712265856040915,3.0,0.4143190742445002,0.4399920962988085,0.667127441516077,0.8125602367047016,2.24324661893531,2.4819893752265343,-0.4568921152042587,-0.4291957414916428
67,1.7399159820015582,1.7944425952414704,0.410220127760774,0.3832197389802365,0.3201824982569346,0.2102115552389148,0.8152772999060787,0.7909887121323531,0.4308483943128405,0.4334387351401478
