,threshold_true,threshold_estimate,ndt_true,ndt_estimate,eta_true,eta_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate,mu3_true,mu3_estimate,mu4_true,mu4_estimate
165,1.7782306825791971,1.8358138403591366,0.9390380141473545,0.9304158270775973,0.6193060481803558,0.6876517902522477,-1.815301626797479,-1.798104773347863,0.7083227537616615,0.6790659167643478,-1.4236995083685384,-1.3927974059895383,2.1262297983174996,2.012341068171374
166,1.0477131534298703,1.0453624353096171,0.2759935736296433,0.28699365237646735,0.33841007217380575,0.1000161347154116,0.9468954957598591,0.9326137759665037,-0.6959653625785478,-0.7736637242267348,-2.21215106626857,-2.282234358668425,2.1510468069748905,2.0242617967064276
167,1.9541930769071565,1.8545412228209743,0.7451202593414831,0.7582180204012183,0.7013826114713325,0.5519274346162069,-1.178583403764713,-1.24557714513462,-1.934213566073496,-1.8573896780612942,-2.4230296782409573,-2.5,-1.6566601990721264,-1.4679540831520983
168,2.462009403263041,2.587775891205238,0.7345179524080421,0.7129315779969551,0.9572101146142417,1.0,-1.5301052436834701,-1.3309673247486014,-0.24026099558131897,-0.2535856610331034,1.7956902727409563,1.8315394965216254,-2.1263866100812203,-1.9785893426005492
169,1.809409098478833,1.9965211528020699,0.20769762983082551,0.20443748654562224,0.21512129164050484,0.8526739122276346,-0.03272192052387879,-0.10853960347554932,2.246043125410294,2.5,-1.7119899190750765,-2.0144659050592284,-1.2017525148831383,-1.3688155514135296
170,1.379193343426865,1.5334830240225437,0.18218042444893612,0.16762643764167942,0.8629567235374281,1.0,-1.8275883517237772,-2.0583866629900056,1.0482920864024037,1.0213984488522179,1.332273906014173,1.3442271563598198,2.053303266311397,2.1750140530662017
171,1.0995516428903078,1.1852024252438453,0.865239535553832,0.8622395590135716,0.6028954373157869,0.9898772000709485,2.398702659613563,2.399236835426917,-1.5748121438099216,-1.5689827543439585,1.5370696628136604,1.7589121579519835,-1.930192702710551,-1.967079328778745
172,2.0985182415778803,2.271199821655916,0.6857746288898461,0.6793137561027276,0.5697266913739583,0.8303635566693314,-1.3927100249811997,-1.4914032279327452,0.7735259809278511,0.8499547407719203,2.3564862210421724,2.5,-1.889985773463786,-2.0309964257332878
173,1.1759737493965834,1.1931995014652679,0.8967053663652114,0.8907053640451484,0.6141815383535495,0.48995477351160155,-1.2567814516333153,-1.212206667502047,0.46897413478068306,0.4373857647949133,0.42693808568589176,0.46846103203530665,-0.8965673304289534,-0.8568246263396315
174,1.9640846833759338,1.9638487082456593,0.8405631857595934,0.8536629703676565,0.7382382789920962,0.7898453824406741,-0.36734735276175934,-0.4281696542787256,0.22369942477650617,0.1658027298413659,2.1357807529882034,2.1293442515304903,1.3323869793985255,1.3954699756056057
175,2.049864208396846,2.2540796348500036,0.3766683759591562,0.3628403532761453,0.731706797129109,0.9604719662648058,0.001569158818209293,0.09292089857540674,1.8688238493515041,1.999461890381322,-1.1147074234650811,-1.1585670887517965,-0.8473190044783624,-0.9194458916273476
176,2.560451221312211,2.8015461864912345,0.5324475849779389,0.5248920057332702,0.8499343657162042,1.0,1.6958101962821055,1.7997946363768582,2.0707857139305514,2.170246777570399,1.7724751677849426,2.024675321946207,-2.320809244477176,-2.421811434227732
177,1.8111200793675806,1.7116692742522464,0.6406720823839133,0.6592774991133303,0.5403348201018493,0.10000085181202754,-0.6948801492240492,-0.7030948550038889,-0.3252090438488997,-0.32628714190733804,-0.7527059845876388,-0.7333604268593371,-2.4791435955805423,-2.48060838279686
