,threshold_true,threshold_estimate,ndt_true,ndt_estimate,eta_true,eta_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate,mu3_true,mu3_estimate
0,2.479543299412233,2.565414742001762,0.882803121933839,0.8844914704249685,0.5996364678941709,0.6954829452809509,1.80610050923748,1.799582833687149,-0.8297077647362133,-0.8384207332274107,0.8739136486326943,0.8399837598661852
1,1.6873027382801058,1.7377867830886893,0.9290059092959614,0.9111815465246088,0.5131570320606357,0.5614645078709619,-0.6933289115374369,-0.5271387946729562,1.3036980828162137,1.4194728911810537,-1.6991399244483056,-1.701222536910884
2,1.9389047670116628,1.944217332191652,0.196853069325066,0.2013314042449152,0.1807045412927031,0.2263132726617316,2.433614989842969,2.5,1.4213876465481483,1.48054641419573,-2.489655585266753,-2.5
3,2.480497861204525,2.404375120403764,0.5390280917338011,0.5571678789013927,0.8469634142494045,0.8442863694658671,2.0118003178181083,2.0227598547814973,1.2425865791632051,1.3337327657234652,-0.1772112575929413,-0.1426934383486368
4,1.6531696639089224,1.6773581520966432,0.8744778096462714,0.8768203307699233,0.1614368353487846,0.1,-1.6102028899267484,-1.6452749425469564,0.7006294092609838,0.6729143791588212,1.661369774826904,1.6434930655972515
5,2.29709677796876,2.2522127927820974,0.188541413660777,0.2077886373055103,0.8066609105374318,0.8518573265834304,1.0731763212990464,1.0234459555216824,2.3576833690505667,2.467862547157776,2.4854934640009803,2.5
6,1.722808653053279,1.643528842382863,0.2797779361812104,0.2982616625857635,0.4397903887478204,0.3917317633318085,1.4134219078377668,1.4258904647855637,1.98890778848132,1.9679647641789333,-2.2589572424902187,-2.210587277410076
7,2.070136447081506,2.302240652521574,0.4191596461227391,0.4024286123519258,0.237616358535902,0.5548347038765353,-0.0173039358621146,-0.024226620024273,-1.0607951872792505,-1.1541658111806845,-1.3413150685518294,-1.499447234974976
8,2.0646145344001265,2.03939468733293,0.850642055986897,0.8556420587057679,0.2264973262066308,0.1,0.7065669481235692,0.726726051762897,-1.3133435437227237,-1.3445005770303455,0.8481775467888075,0.8590595680941244
9,1.279304671692813,1.2602675171569375,0.5854239791843135,0.6041403522432828,0.2599932299769281,0.1,0.0261531825886096,0.0559901326673947,-0.0281962866863555,-0.0745602964003287,-0.1213913522677778,-0.0135886730398908
10,2.577498277375762,2.43452708945643,0.8195652769128962,0.8714313070735057,0.1460024513497702,0.1,0.8530205896944154,0.8447263943818141,-1.6560993889997475,-1.738456552934263,2.4209370298555943,2.5
11,2.116119409283676,2.2645192062252715,0.1610461443156193,0.1271659247070916,0.4024955898522685,0.4820944223231933,-0.3778007089739882,-0.4221617065536376,-0.6700973103429458,-0.6814210667546285,-1.7100703692844843,-1.8148099248615857
12,2.163190328772433,2.143330350490356,0.4690040301968758,0.4793919125610239,0.1249804267549547,0.2299271871867022,-1.801432492839552,-1.851673987065961,-1.593952126366363,-1.6299239909262095,-0.7989332943275002,-0.7561290408702025
13,1.4705407144233853,1.5070673698376442,0.2731696588713314,0.2751036999077568,0.6058500229621657,0.6110745006234695,-1.9756634775035355,-2.0225921865953342,0.5673300377523011,0.6914735032235839,2.250179940825192,2.3772479438529937
14,1.988820447197832,1.9863567331530023,0.3120449239202875,0.322264607287613,0.1128975982008715,0.1,0.7490906061079,0.792331937804585,2.3477776978863063,2.4144929444337286,1.869502928972227,1.8966251932757
15,2.578227757264654,2.708278946731667,0.6749247601290357,0.6329247573898859,0.4822945980230252,0.604736856412413,0.1761740717736681,0.1144545733870346,1.7123712671904494,1.7782541199486326,1.036774730256906,1.0125936161264817
16,1.7709431261750663,1.8029342663363968,0.93503829297934,0.926807394576012,0.4496270541156054,0.327532615263254,0.861702615344313,0.7775660066750446,-1.2159106142848746,-1.128528357045465,2.09099096901968,1.970162174612796
