,sbj,isSpeed,jitter,threshold,mux,muy,ndt,G2
0,100,0,15,3.615505367044332,4.654520498166282,0.0424341052337265,0.1,-421.85502075182455
1,100,0,30,3.431101365009108,3.8662560384723,0.0675468851708033,0.1,-349.9925319757307
2,100,0,45,1.820967330545367,2.394901381954754,-0.2024874020487343,0.4014737199731178,-195.72356344371684
3,100,1,15,4.026900488253976,8.0,0.026474842439633266,0.14865749043510612,-600.8404405765905
4,100,1,30,1.7324212360239242,5.764806365943291,0.0670497904199778,0.3754966850864907,-500.80237615595047
5,100,1,45,0.974844540487486,3.284842148417583,-0.30708956887352323,0.458959599539028,-329.7367604737637
6,101,0,15,5.0,7.548780707726565,0.15278216924829302,0.1,-467.12662492393883
7,101,0,30,3.3134282900378498,4.222433917369708,-0.12496380287057296,0.10555559969343895,-308.19371008520915
8,101,0,45,1.917839433364221,1.8961790291790404,0.10636777734722697,0.17192155245783092,-87.06271695855183
9,101,1,15,4.400188612026946,8.0,-0.2975055493658456,0.1265861802847514,-551.6889970322741
10,101,1,30,1.844587164206229,4.479693203494226,-0.0739418008770256,0.3411161324597384,-328.9531028547656
11,101,1,45,1.2121434740393675,3.490891141712005,-0.04260490836327555,0.41560156070458665,-271.77184632108606
12,110,0,15,2.6005417555461783,3.894104578130947,0.2066556538963635,0.1,-289.7741034205971
13,110,0,30,2.3250180743668767,2.433785506661423,0.1070909379002372,0.1,-151.88691883878937
14,110,0,45,1.6018832580313749,1.6072147068215523,-0.0961324214795224,0.2522700122923281,-51.43374550440829
15,110,1,15,2.1293674368058397,5.8040935796524415,0.0971735188287316,0.2413591828903315,-399.82403214667073
16,110,1,30,1.532793319169872,2.854622481650671,-0.1554424814310679,0.2397599988823052,-212.5378428973576
17,110,1,45,1.207103037206775,2.1832620409398693,0.1178875629701403,0.3208100408202382,-149.9805892237225
18,120,0,15,3.2507439393250754,3.793485052212621,0.0160556162841406,0.1,-267.9153390730877
19,120,0,30,2.698626161499672,2.600869194504127,-0.014273189389308598,0.11087499528585587,-155.97888631033595
20,120,0,45,1.5945374347973265,1.8334372987174568,0.0360105178222796,0.3994376131485824,-82.45046985699103
21,120,1,15,2.895534801121866,8.0,0.1291512017590283,0.26467594128243893,-493.20397189824166
22,120,1,30,1.2796865741667036,3.5165376013445666,0.0756985808293793,0.3359399839605327,-272.1390276857587
23,120,1,45,1.3157908603913262,2.93884458901772,0.0252398918476125,0.298594510033577,-223.0443795287194
24,130,0,15,2.0484792588074794,5.836308388012014,0.2235017059688941,0.1951934273603839,-402.4193759479776
25,130,0,30,1.0199726990283569,4.123274765870154,0.1342649359622363,0.3147654290964637,-319.1947720819398
26,130,0,45,0.8276980195373566,2.864822011875664,0.2311614824783259,0.3402099995843161,-239.3666183131213
27,130,1,15,1.2793595543925549,6.64681270575351,-0.5947546535305326,0.2708954882265353,-426.8903908011058
28,130,1,30,0.999907253079033,4.927386008916226,0.05842789697112256,0.2889606705010907,-362.32903048649035
29,130,1,45,0.8396798952486753,3.7494557862318265,-0.3337725776762319,0.3049709086404602,-305.4732986188903
30,140,0,15,2.83687391605278,8.0,0.22748010389596007,0.2621058313378652,-571.6063837009812
31,140,0,30,2.283558851742405,4.622213077008661,-0.1326930266325767,0.2189014563843301,-339.24354759477467
32,140,0,45,1.3904719056670525,2.5392569596763885,-0.0883468801864452,0.2968201167687411,-183.1191955083336
33,140,1,15,2.3991556079044267,8.0,0.0737330113514317,0.29947732523695714,-574.0915701500687
34,140,1,30,2.253629251337036,7.033118391190397,0.2685690983131679,0.3163117961550828,-444.0766491142791
35,140,1,45,1.0394034857910264,3.338044369509935,-0.2854034027864743,0.4280300065546164,-264.6358104762031
36,150,0,15,1.9944990787675365,8.0,0.026492478829136672,0.2936926830955409,-485.5931714876221
37,150,0,30,1.4613269636902246,4.561025962212368,0.2600640689580781,0.2845488207848087,-338.8788528632323
38,150,0,45,1.0194625211217498,2.7439448379061484,-0.1964763233816774,0.3301898769092934,-216.1515616671199
39,150,1,15,1.9851160193956108,8.0,0.011791144700061137,0.3014430487813895,-528.3196305117148
40,150,1,30,1.1208929186299574,4.389976422117955,0.18644669455327761,0.3568099930679876,-333.91184182601415
41,150,1,45,1.0896277843729856,3.615999919150269,0.2013964314255672,0.3484199921609551,-285.3147875306633
42,170,0,15,3.2568895242073372,8.0,0.37038039994111877,0.13553053087384648,-481.4018542150757
43,170,0,30,1.583603644375998,4.136868594838742,0.4950133042848531,0.2387713749887804,-312.6420103906472
44,170,0,45,1.267800571360676,2.2460054242442475,-0.253029584482728,0.2302299028521978,-149.76618867604734
45,170,1,15,1.8731809519142708,8.0,0.023802304955238947,0.24502453859515877,-484.9549480931422
