,threshold_true,threshold_estimate,ndt_true,ndt_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate,mu3_true,mu3_estimate,mu4_true,mu4_estimate
0,4.588846882534226,4.4210619867697964,0.6076618686414611,0.7309046445548698,0.5629417943871207,0.7067706985042727,3.4320653314591287,3.673818853434649,-0.5351731426743556,-0.4816922037132913,-1.2129069651498048,-1.1922093148896258
1,0.889005290889437,1.3382787628182824,0.6666947714501783,0.7036657699600352,-1.5646198024149838,-3.596217269992122,-4.173497715184605,-4.998142427011512,2.5981152750446745,4.962439519877428,-1.0442128890946734,-2.833696232365245
2,0.9113046819747588,1.3854446474698316,0.1324632621880455,0.1754196724995503,1.024080983494564,2.486945578636865,1.7130528846455095,4.0949151045950325,4.108744158009548,4.97367904202183,2.4002958484773043,4.936081734350195
3,0.8217440552939428,1.3602803348989436,0.4000615663359393,0.4423678121630906,1.9249609361462672,4.985847343940564,-0.5240774955609007,-0.5216063580008223,-2.276512051732955,-4.93168605018156,4.109238653313864,4.995341883693523
4,3.2610167920697863,3.855663905127459,0.982111624103726,0.9972467503298592,-0.5842962534390583,-0.6562247379468257,4.710346917734736,5.0,0.6123160159252861,0.6000322357033073,4.165625835362952,5.0
5,2.006649794445037,1.8216843740251465,0.6004158300960487,0.7366175611259377,3.104224575879222,4.532015041393319,-0.4886977933056646,-0.8332083169457044,4.362786384140365,4.992305169982498,-1.3053169085145166,-2.10454923363681
6,3.1561126969739277,3.383430210099168,0.3459542101093399,0.4811955282667871,1.7886914122708852,2.6034157170566603,-3.694970550395996,-5.0,1.6482689257981575,2.4495700301130428,3.954921871655875,5.0
7,2.7582831677320936,3.6447838648052326,0.9661984077023148,0.9816204605459864,-0.4380395810799908,-0.6559939784050858,1.1403928109948946,1.5688971783030334,3.0149502151343297,4.080103902047489,-3.499518452471841,-4.619189804942741
8,2.641070689514279,2.837365626071761,0.7486854073148468,0.8940581809226406,-2.8530661233027974,-4.411796076776137,3.55269824226525,5.0,2.62559458976229,3.9637154908083234,0.623534248128973,0.9062783360618905
9,4.21947797299227,5.6969813908362745,0.8935237139807526,0.9065797131211932,3.905753442241094,5.0,1.4486185581138622,1.9349812591521047,-2.8704837425630867,-4.051301293090943,-2.2874514814593527,-3.1081592145947514
10,3.831907740272304,4.478068961225831,0.1972708237225274,0.2298732901881646,-1.5198239332880437,-1.9345322834307104,4.624331219999721,5.0,-1.7962297705743724,-2.1197981834130704,3.5331922620145773,4.382897382967894
11,1.2848111865173382,1.4969995798633833,0.4723754608481829,0.5423119060677618,-4.342150887914054,-4.990155699722388,3.084345411922067,4.881977313884345,3.3691562781149664,4.963001754676856,0.150785604898439,0.2643256732225796
12,0.7821762033050059,1.3664947848151188,0.4302122080277636,0.4617350095114855,1.352181187036926,3.870055711553452,-2.830703781785524,-4.952046958063891,1.885160292248116,3.8428474672857247,3.4661830537156826,4.981301579669934
13,4.417815246127207,4.861950282460026,0.876306753380645,0.9998476463971502,-0.6577857050638847,-0.9375902109634966,1.6844882461730717,2.003308562144837,-3.613120766624749,-4.538138676809917,2.220940668667017,2.844840655353336
14,1.6499363120271298,1.3884469591987492,0.3954730942306769,0.5098153317497225,0.3469157632826092,0.8380442259371057,-1.6144589015917588,-2.132492544075735,-0.7356708179101767,-1.054145612789309,-4.275548919767736,-4.989757264475123
15,4.557838148755538,4.990507551049482,0.7903595150281394,0.8609684210668027,-4.5449134439204775,-5.0,3.710237606091049,4.5920821729199135,-4.9055988915151,-5.0,-2.026812531625389,-2.3811748280032563
16,2.7993105431245686,3.157092151513943,0.6661746593095355,0.7564559287021116,-2.224681138954363,-3.129288892542842,4.364375190659339,5.0,2.071328482328567,3.0296625200469154,3.739680974759039,5.0
17,5.618861441323067,5.997716119986123,0.7275210173544115,0.9815373310766606,-3.155918586511937,-4.114321806150684,2.316496651450647,3.152836143838631,0.354753207111903,0.4776941468840602,1.8619573403912528,2.571900230484488
18,2.5887992219338773,3.224830025166929,0.8357686848790314,0.8910242474007894,-3.7813973250290456,-5.0,-1.541262682073652,-2.579667227780255,4.400758399669908,5.0,-3.939265099267464,-5.0
19,0.5545177230719885,1.344392644878614,0.5931368943966131,0.6060695608958724,-4.144930223200988,-4.985258415567937,-4.47629751251704,-4.99720081771927,-1.3112296078409758,-4.474133593369986,-2.068504740589555,-4.996706143573264
20,4.012352181154629,4.838533157661278,0.6486758805354031,0.6659990145801705,-4.651821515190773,-5.0,-1.715909731569808,-2.342233276933555,0.5903832553319088,0.6142693338801308,-4.418272653239736,-5.0
21,1.6285788589726835,1.3653553727390204,0.795534595246622,0.9118361260406792,0.3945634620145177,0.4990127349378654,4.300828357758792,5.0,-0.0160240856497539,-0.2824180922032318,0.5825655064486768,0.7752227890139265
22,1.2502554355631668,1.415388079239769,0.1207188856515124,0.1855262885535271,-1.2416040309191243,-1.9531782645469813,-3.992176066213122,-4.993764646462263,-2.343065299594537,-3.513614958558804,1.4813545483933357,2.4959709164657573
23,4.970938202474133,5.274823709658597,0.7651951655621692,0.9105214085362716,-2.274498084787966,-2.9360602878506423,-4.3975271714908,-5.0,-3.5037924500530337,-4.387199038742922,0.0845825264654198,0.1786459708518023
24,2.975768639453466,3.0128903560318854,0.2378560196309335,0.4087668139203507,-3.9806231624942554,-5.0,2.219512090734347,3.0912749559321946,3.231231532897719,5.0,-0.1360529621724537,-0.1881089859801978
25,1.0133062618347075,1.5751662732427978,0.5595454734660513,0.611402986169966,-4.541522098946455,-4.971826555954028,-3.8169587040888207,-4.989560168361514,-3.4248295323105737,-4.977388749966661,-2.5435171989342056,-4.978632327802085
26,4.04501897899362,4.54212703022069,0.8526653538764509,0.9872284141113542,-1.8586461247663175,-2.4182108143568524,3.689149390949535,5.0,-2.84699657891168,-3.9766214049320543,0.778957270322993,1.1675912198794045
27,1.141611196890983,1.094621048101499,0.1754644267976503,0.241842062008154,2.0796625195361385,2.583894520845576,-0.5357169103321846,-0.6660758670421426,0.6639279878619686,0.5078373612915167,-1.3138875222144786,-1.2768502133267128
28,5.578792553632065,5.284008899898445,0.3512159872812474,0.5903955977141747,-3.2766303050471035,-4.224118470459422,4.433076681288232,5.0,1.4930199802210575,1.848937447868632,-2.85588533738945,-3.701759062245649
29,5.385248575523688,4.66060736919989,0.7317399096522235,0.9633097991598768,-0.0129516974912402,-0.0774383105380363,-4.90717278556739,-5.0,-3.654642168812317,-4.279702972389973,0.3817445551417475,0.5462350120826592
30,4.661474486738735,4.602853392272028,0.6466037346498749,0.8871747748106866,-1.011041380315746,-1.460891080036782,-3.9969260663424535,-5.0,2.502753827866555,3.213881260069991,1.2167652400960227,1.7176406294695492
31,2.4703338588075328,2.535699636782089,0.5654250309521266,0.6342163433318473,-2.023815306743998,-2.474550918046613,-1.0139769588916625,-1.1555984260699763,1.6554699863913036,2.0340865228028697,4.77515422407469,5.0
32,0.8832865083801368,1.0270139614030032,0.9796347954528878,1.0,-1.2436693176101732,-1.328572130915889,1.869949670566796,2.6291165529926954,1.8345087790420955,1.963754688445013,0.8517897237916305,1.1131850236350125
33,1.2518323966315943,1.586022855078242,0.7045131114069603,0.7757480711988857,-2.194004619768699,-4.528905421363836,-1.9617318089574431,-4.2519116954926215,4.133954649376154,4.992557422601708,4.000899555774621,4.99157249571781
34,1.941623567825036,1.848600370650209,0.7531572953694872,0.901954128694476,2.812213395261129,4.327363669362648,2.85439468410324,4.5567606962753775,-1.509080406849872,-2.2800912907037474,0.1590143561050827,-0.0175720093725034
35,1.2426491262781507,1.4218379615478538,0.620761882043017,0.6947095307855422,0.806566337437099,1.457761634284328,-0.4257757168413378,-1.1756925288448097,-3.1208495007488644,-4.975410633355056,-3.607639671517503,-4.993989805770915
36,2.415593202709689,2.454370966788868,0.3019902438464253,0.3909459020532763,4.441634916220931,5.0,-1.4795069721504084,-1.992398627769024,-0.9636220836443056,-1.188695609240716,-0.0860887837389778,-0.2049833619515648
37,0.5097552418665832,1.308611884616435,0.2299381521970442,0.24026649007898,-2.3709860296525687,-5.0,4.788328106033264,5.0,4.281883784179806,5.0,0.9704108471623818,3.1321897937960728
38,4.741345662178362,5.263757954367594,0.6333244075335152,0.832031913446967,2.9185391288960294,4.435175844057536,-1.1193306696087757,-1.7739646304122922,3.9754429976704007,5.0,3.2857608344373643,4.902268108047497
39,5.325240991488834,6.0,0.4507312200290129,0.6653820065856787,3.285702661432289,5.0,-3.3774391744281878,-5.0,3.696278501565056,5.0,-3.3088340016525795,-5.0
40,5.746366050319332,5.742981096398298,0.6558180650773836,0.8331574946732738,-0.9772462450636276,-1.2378246518788265,-4.52108536598832,-5.0,0.0060617281895303,0.0013541575809402,3.1002708899947304,3.919478554241236
41,5.338922570050418,6.0,0.963986999412165,1.0,2.491408310354464,2.841578807103329,4.173945214091561,4.817399204130921,-3.0453176580052723,-3.4124131056113023,3.04644732613884,3.507005569544515
42,4.875666316742678,4.474766506655658,0.2566828603849796,0.5525408514451758,3.894340922380378,5.0,1.389093751917032,1.9698766947495945,2.5285201794172965,3.314347520939076,-0.7305282446245087,-0.97638861372279
43,3.494933703856125,3.9878740207243166,0.6514607257605272,0.7482973945741958,-0.6493002507765566,-0.929737910470626,3.0235974643343466,4.245517582928842,2.558805701463516,3.54552395047862,4.361505333177656,5.0
44,1.9246542748299151,2.0278956064429807,0.8364546882889647,0.8936889565456837,-1.680562076889511,-1.9162594109528024,1.2022771735814142,1.2416494664275275,-0.797776814600516,-0.6696476401690967,2.8084714411194813,3.538241489038629
45,0.5519709712571703,1.1672834255733646,0.5337139234507831,0.5487139113530122,-1.491060506435019,-3.454001899362176,1.9177692133717783,4.45163917412361,-3.654396086121853,-4.99252466002494,0.931998359172982,3.213132836206889
46,2.2788226246466645,2.21012186489177,0.2197927988973036,0.2843740707418608,-0.4530619143450654,-0.512168623391295,2.092766698086304,2.463375580161148,-1.9750767259083568,-2.368751730550851,-0.1130006475558331,-0.17447635811408
47,0.725873402956144,1.2577917200061657,0.2423516691346035,0.2692954351236278,0.7696264335640723,1.6358619801470595,4.1550630690142265,5.0,4.2370503070127,5.0,-0.3142716063296336,-0.496363235343884
48,5.988410885789222,5.931301087378543,0.5926750413377084,0.7813787192813001,4.420530915033592,5.0,-1.8016167946533268,-2.0838427247954794,2.323198426318106,2.906303179312874,2.1419819127762896,2.534939696956513
49,1.586892464957751,1.6654500531802676,0.5254456343731002,0.632012457309694,-2.0283680915306137,-4.957044201551187,1.7420870328366722,3.5732431163592784,-3.748173943165441,-4.968613294981463,4.941316472417666,4.994887083688884
50,3.4831591864665503,3.745329667183086,0.2955155985531987,0.38913466834220384,3.2671161233389947,4.1826571497019485,-4.477927269930385,-5.0,1.7590455270995575,2.640794601833931,1.6576593056716893,2.333434488659825
51,3.297204510933336,3.497509062238167,0.6759117651014368,0.8171195686656246,-2.8727602777856163,-4.491800367381763,0.45790152595715616,0.4390070344695214,3.35520776654731,5.0,-4.47619544407608,-5.0
52,4.835999391692992,4.956762803567365,0.5674933732517661,0.8911900516615126,2.2228030537769605,3.8412186315008143,2.8165193312685757,4.7712936947349975,3.110205124309796,5.0,3.3133331654609277,5.0
53,3.956264152037532,3.6638781655405404,0.5117918841240158,0.6861918896971075,-0.14910867445539822,-0.21894444044112377,1.2301143242430046,1.4790013362893082,2.432733810649057,2.634548494115983,-1.5061487514398708,-1.6943437490067605
54,1.9794670655101712,2.4883275306262096,0.2397574700605444,0.27237450463634216,-1.982563700042974,-2.93737057354158,-2.5721162347761037,-3.4780694956049105,-0.0035007737821357576,0.17885127195833048,-3.938451869719234,-5.0
55,5.762318417693839,5.209350231259348,0.5661465962125536,0.7666623449216905,-2.113075199067688,-2.4708247289798866,-1.467508075649705,-1.829593144968047,3.021209452631716,3.702686242747221,4.978517177837093,5.0
56,5.588958024683495,4.893845250679389,0.46446268884195846,0.7608942587712593,4.511742370148907,5.0,-3.2205405071360893,-4.384549619526666,3.820095830289054,5.0,-1.5130784514202256,-2.226341038646226
57,5.478546469486129,5.482702309765663,0.5316560973234167,0.6297725398939191,1.7318791517532683,1.8227940491401864,-1.364010296223841,-1.4427146478524087,0.23856232980593917,0.21841707296314464,-2.1644974061183886,-2.3284935636327697
58,4.441578270754291,4.3506124937998205,0.2209980689845528,0.3666529258390975,-1.1241995360138335,-1.170946257813173,-1.5398734849630769,-1.58710142249741,-1.2437698789116791,-1.3400424460412825,0.5933202702491902,0.5700537324975326
59,1.3119132639913276,1.53397833486783,0.3218472658719169,0.39566555571707607,4.794874439557313,4.997749712216515,4.320244288823921,4.971720627311427,0.34575047464585285,0.05944004227297017,-3.372521856130317,-4.923667906384418
60,2.4870832776496563,3.038444127202983,0.3504679494086405,0.4258541593011612,1.6945106422382383,2.524301371133725,-4.506944722676685,-5.0,2.521734310869219,3.7962450728445774,-3.239045821513961,-4.909861665102886
61,0.8961688989023664,1.1064691831739693,0.11129189905071352,0.15020714335196078,-2.028468636723936,-3.03908872079468,0.6785577710049973,1.1937119232866695,2.252387128603096,4.003571701297271,0.23333272755661882,0.2719670572860547
62,5.444414372391617,6.0,0.9206282868857181,1.0,2.9046742171977757,3.364880706764485,1.4588095084999164,1.7702672596064222,-1.54857945030199,-1.793697350674965,4.08103448569719,4.897576424303032
63,5.19458832897584,4.885935530279466,0.4077892561513264,0.7620119520403804,2.586005861719678,3.5787628807680116,2.3280961622234866,3.0891691492790905,2.64147288696289,3.6813354746036926,-0.305428497390543,-0.47012812308845014
64,4.871009274525008,4.899303438454697,0.2930284460978887,0.4090515005492499,-2.0925030036222694,-2.317502133424745,-0.22364905667476953,-0.1876251392574914,-2.918362218113283,-3.2595349484624885,0.9029224994959595,1.0245287099225981
65,1.8601735770897538,1.8203724394466456,0.8116665631024769,0.9375139688113323,-3.006289803083755,-4.971863579314963,1.770554016424598,3.3477718340159135,2.541473190029019,4.170646673846687,4.113575370392814,4.9792822118331905
66,1.8495665723800927,1.864548873733563,0.5102541182079576,0.6415960867096068,-3.7006714613000136,-4.977343274114961,3.780935513483209,4.989932818002988,-1.6558758237098037,-2.6017816394838267,2.3575797619915395,4.621394885433412
67,0.6107395770265254,1.2352988070125082,0.4289814729075246,0.45107389691749594,0.5170978411928262,1.2524527736872977,-3.2902298605538185,-5.0,-1.550000979364623,-4.273521358464312,-2.5048308940748667,-5.0
68,4.600732666209263,4.5720143672185936,0.7794880923898649,1.0,0.23483110850035183,0.3338320651845566,2.053252308715088,2.672898562121385,-2.3759849994940807,-3.4123803807600797,-3.8509617591960654,-5.0
69,4.151577665849444,4.570405886512315,0.8295114901664504,0.9124554586843793,-2.757944939974162,-3.5760240443812896,1.7771292511828574,2.299383418657199,-4.379502497650113,-5.0,0.4132187022168643,0.5850403511409717
70,5.558601207492276,6.0,0.7966623560375237,1.0,-2.2872433273236012,-3.266934617892344,3.5437037517130623,4.883638128226256,-3.4850325728246023,-4.870059013676844,2.383652605307568,3.2180999913656763
71,0.7736997255115513,1.2393482164284246,0.8154067924395519,0.8452442845983623,0.7578320522935766,2.267875270452552,-2.9833886916823946,-4.995927703024904,-2.675996828462667,-4.803137280866067,1.2505815625501182,2.843520116824566
72,4.724066078806799,5.218499699288552,0.9656171929515514,1.0,-4.487786323655467,-5.0,-1.443652823071473,-1.66375369072122,0.8468069798077194,0.896443427396206,-1.3957063266974656,-1.5541997430350014
73,1.8895131102055642,2.2873047241993416,0.2625716556687578,0.2713853657785892,0.5200697682222599,0.40967232086802563,1.496158964640717,1.75749509584254,-1.496383180466474,-1.837504835586723,-4.5684637756598745,-5.0
