,threshold_true,threshold_estimate,ndt_true,ndt_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate
0,2.4299163547959983,2.835066713972967,0.3512287030661332,0.2756901991253169,-2.156518860356962,-2.2816288240365776,2.8150193875317564,2.822170441808831
1,5.654808115498672,5.740043626784409,0.9785232535050158,1.0,1.0467197945306146,1.0634492008877496,-1.2951132699417047,-1.288745385931185
2,4.811020135206318,4.293583023879953,0.4243606241451579,0.49000983035762696,-5.894466428474639,-5.808636878387681,-1.1342177318425626,-1.1185479610306648
3,4.791892936029052,4.915690715462789,0.7710372674854703,0.7475458943923399,-2.7979109741313266,-2.736640672849931,4.2240764991875,4.239462941000001
4,5.800083001932576,5.994823131362084,0.920157084800257,0.9317543135242035,3.987575269635644,4.180311759419423,-0.9390432777286959,-0.907340803804929
5,3.3108997188058886,3.041772454599131,0.6943086203303515,0.7425490866961418,1.7152423990177077,1.6426393219559343,5.91299194418643,5.853128791204965
6,5.746574490774553,5.824175705118179,0.6486635822865721,0.617129714246108,5.916981367817731,5.597011847955396,0.4764930987951952,0.5262880181488248
7,2.760439488447851,2.7962726606935644,0.2434857250612598,0.24286921883478152,-2.120314197864848,-2.2342610498559763,-4.8033940571434055,-4.78582217652422
8,2.311287471314451,2.292809940677489,0.9922006316625943,1.0,0.2508033777373675,0.2993658817901237,-1.3780235370765173,-1.3364890182068256
9,1.382426237231687,1.3308536124094248,0.29370983544823653,0.3115447647377404,-5.870749407150094,-6.0,-4.4563217979849,-4.804272236460532
10,2.421270958601024,2.4454659234762017,0.33615095280227,0.33340608957830664,5.206832000811463,5.194923277307158,-1.0440756412003909,-0.9523375398103895
11,2.0639217460010966,2.0285075332543387,0.8589296636404555,0.8652125159261829,-1.754707386345781,-1.7099569831972077,-3.2851802150059335,-3.2001515430646297
12,5.125658652480008,5.079190128888373,0.5162349313638297,0.5296435696614175,-3.24634429953319,-3.371618689789932,2.337318424069797,2.3226202128190288
13,3.994801806710928,3.7811476995804054,0.8855442557511521,0.9421559938944076,-5.682114625006898,-5.911098145282426,4.7159842189340555,5.020852763569032
14,1.4793700097935791,1.4444165032594385,0.393972684941146,0.41627196894290636,2.1387521978207706,2.24551112543332,5.482137431159638,5.717684823205338
15,5.758658024020417,5.675990861554431,0.6678106925566584,0.7015134418706213,-4.198854902575852,-4.309865414347083,3.982523460814938,4.079163858130581
16,5.205508903625667,5.381486385479427,0.9558940649529781,0.9512053762435632,-0.5505588302548117,-0.5696520337367564,4.104247887033532,4.262961071153925
17,2.5874754010330028,2.8090081573724435,0.2136878493520356,0.21040091541822928,5.099773951356987,5.433989937377002,3.8162096803265544,4.110430243297552
18,3.3576294056787908,3.2591770657058654,0.7523494892374312,0.7860998636334519,-1.3379758635147887,-1.298758315021819,2.148141212922087,2.1545712176346683
19,4.361667914440309,4.32826063418525,0.35606465825020633,0.3866772017745652,-3.6478090624129766,-3.8395471566192,4.518127560715029,4.648754447298879
