,threshold_true,threshold_estimate,ndt_true,ndt_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate,mu3_true,mu3_estimate
176,4.766725088703183,4.562170618365777,0.2827525011972249,0.2869947887844176,-1.8096575385730131,-1.75242011676173,-0.7290460218820702,-0.7569902689818234,0.9800525200473992,0.942416588498334
177,5.5756633316653055,6.0,0.3869517074004525,0.4581102760328011,-5.187409844978022,-6.0,-5.835094768254493,-6.0,2.355889875460465,2.80341995156754
178,3.945113726091221,4.361030393792967,0.2193465796715603,0.4449711471967876,-1.7570961643254035,-2.90959835145276,-4.216397764164864,-6.0,-1.1673300519751244,-1.7168377248630418
179,3.750629012145117,3.954333497917469,0.2369420235751868,0.3492125230100951,-2.519539449930853,-3.349690306294921,-5.506417758090844,-6.0,3.709431606575623,4.856607676830197
180,3.929825378609612,4.429183267541825,0.5558566183219843,0.7461262970634966,-4.251153526210821,-6.0,-2.7526908010869326,-4.125303265802566,-2.42345065178052,-3.6075040335017743
181,1.4054438962310138,1.5917582939368904,0.564934346304815,0.6431574863764129,5.221345119272157,5.989871641555336,4.119292319298072,5.997800482862325,-1.5407405270503745,-2.851894725666588
182,4.931932641716346,5.3104894923680765,0.6737924865707614,0.8760931197946145,-0.4440060658828537,-0.4753133379859075,0.463373215610348,0.6621040310225983,-4.318864421252108,-5.746202843356532
183,2.385976534953505,2.136559577872275,0.2934636896578252,0.5150152711860764,-2.99424463736282,-6.0,-4.456402337045477,-6.0,3.1535408351722687,6.0
184,0.9449720245795894,1.434460598944035,0.7650215537578271,0.803430934589713,-1.100181557070194,-2.658832235431097,-5.981215808959349,-5.992975602360436,4.09437566355731,5.997999529164504
185,2.880514317599173,3.5868894238831763,0.4556656327428493,0.5313303710583798,-4.533824857803315,-6.0,-0.4174399995017901,-0.7714284403854935,-4.600474665857374,-6.0
186,1.1283803702601345,1.3182139768465622,0.83205342160785,0.8879582809216979,4.55372999812367,5.995722195769589,0.6212985604211747,0.8923952568799822,-0.9227869406389776,-1.9244177342565605
187,0.740721015957723,1.2515654606373856,0.5503103292669216,0.5712202148944798,-0.96479097269612,-1.8436864319851205,-3.9245111064918334,-5.989260769909009,1.8544763720808084,3.6799630932287486
188,2.887766004013708,3.6820804773906657,0.6731448681265486,0.7461761603034924,4.56432122562922,6.0,-1.6641332005724645,-2.557084169099862,3.0426698253955675,4.608905136450924
189,3.266625842163834,4.065101173313722,0.8657527824127176,0.9854378524963836,4.244794317970944,6.0,-0.7376936633709645,-1.256561468994336,3.42357447244312,5.475706183764788
190,1.9084532804450995,2.2548315560883703,0.8922795089490971,0.9289314706094352,0.1424075198827954,0.1650316090456987,-5.158363796890455,-6.0,-1.124446896551753,-1.3801711975660502
191,5.140906579621546,5.181713025796497,0.4263076564499814,0.6462226938949311,-4.453148553051882,-6.0,0.2183959270218878,0.3013698209890936,4.8349599598054125,6.0
192,4.8929211481671535,4.431991219027497,0.3627029710262383,0.5792351171587974,-0.0273402622711493,-0.0163681386446468,-1.7306923176547129,-2.041455649511237,-5.2311128086947,-6.0
193,0.9395980000689884,1.473823033670432,0.6230304254415452,0.683926532459313,-3.084466689887753,-5.9530012918200725,1.164274906960891,2.4704658775931456,3.584314527966156,5.978899899489814
194,0.965773109657828,1.4851752587075564,0.9413095338790008,0.9923095103098136,1.2242004164941045,3.026503422440969,5.474615196712393,6.0,4.097966295655737,6.0
195,1.426910911420486,1.6387612251130166,0.8298796620196287,0.9064491333072277,-2.522228882021362,-5.268466152044555,-5.272746318757783,-5.998211753049113,5.781372132563387,5.983008071435132
196,4.615074606390335,5.052097218774568,0.5049404992854891,0.5694859986081178,5.397368280878488,6.0,1.4880107130703617,1.896636449122668,-5.645850355765244,-6.0
197,4.135434743555064,5.106928436730175,0.3692126449393323,0.4945453383187612,-3.896799584595714,-6.0,4.551175675700232,6.0,0.2436689854970679,0.3245299597793527
198,2.6653833987490345,2.795587895180708,0.4337167869661603,0.5503232165352079,3.92822089000199,5.984440095546979,5.397600766334564,6.0,1.0421179419655455,1.8407256998923789
199,1.4588643205389782,1.7644912336986018,0.1584863691372111,0.240057129784483,-4.050553274159219,-5.964865578356389,5.131958713161878,5.978214820460774,4.80053669602818,5.957596303704314
200,5.85107427784457,5.3332023444140315,0.12980441787990718,0.33428314376663765,-4.973416328938455,-6.0,-5.787046270094032,-6.0,4.838573812605766,6.0
201,5.133508434759246,5.417425955791887,0.6140482140504919,0.7721741942776643,3.0551750580974586,3.960094387316,-5.04728241994763,-6.0,2.7591883464390743,3.742915595330485
