,threshold_true,threshold_estimate,ndt_true,ndt_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate,mu3_true,mu3_estimate,mu4_true,mu4_estimate
113,4.937404309878653,5.602334152232484,0.5266904057037646,0.4987697267119367,-5.581644169830599,-6.0,-0.612059938781861,-0.7659030590720103,-2.3539674104428703,-2.534897914552921,1.2587466390998974,1.4481097140175736
114,0.7419817540774781,0.723779983994078,0.7628147667923068,0.8052573594538616,-3.487869599050425,-4.700438967276414,-0.0647456040325971,0.6058426740308333,0.174652733478386,0.145599459273502,-1.6698652480924745,-1.8591046550005608
115,0.7576026472709565,0.7279999761813367,0.2573770173049355,0.2899828951461682,-2.818664526872821,-3.54607900427042,-1.909913961156541,-2.1565769255874283,-2.807088395310594,-4.414367835962914,4.878677966645998,6.0
116,4.262671274675508,5.164562839476091,0.8863820907436035,0.7520572716165386,-0.8281365081400112,-0.6900384928078556,2.75046200449088,2.6222980656524983,1.7545222062542307,1.9721966809013989,-3.76551906660483,-3.644600278240085
117,1.6597628541321354,1.276929299737288,0.1663223191499176,0.2545554936685448,-1.515269182704654,-1.7338306794603957,4.125579407401283,4.671114605199237,-1.224834404728783,-1.2455219922567442,-1.9737020425709235,-2.0114642928044657
118,5.805757411381601,5.995081856979642,0.135161963995016,0.1846825802703035,-1.1401474186990104,-1.2494251730760304,3.1689629810351265,3.368602118772476,-5.547030999089358,-6.0,5.322959060661704,6.0
119,2.832584445196667,2.5983464211547966,0.36326452256824,0.3899876591165224,-5.990915836825796,-6.0,0.6416559120402483,0.3296918754136465,-4.638276880141595,-4.139014619779776,-3.173921927749423,-2.833391876955424
120,4.955995228740764,5.392561087153353,0.3954575561168337,0.4461511395472843,-0.6304269672078893,-0.9196008953492658,-2.0353007672092764,-2.282802457757504,-0.8582572179004697,-0.7320123663001613,0.5166545111572138,0.4907091039992041
121,0.9024327900638508,0.8958361322959459,0.2742121034093532,0.3136752567045788,3.281982779345696,4.828566223588028,5.805334786454122,6.0,-0.0968976283761167,-0.6800632763376792,3.847999753015763,5.582151613676117
122,1.971415793008379,1.6945851961032994,0.3633691850961308,0.4240561822610229,5.584966524678511,6.0,0.2981854834783517,0.1732042386749175,4.757735744712005,5.19711613116046,-0.2332503021083782,0.1845315090601539
