,threshold_true,threshold_estimate,ndt_true,ndt_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate,mu3_true,mu3_estimate
0,2.6456913321164452,2.531928853881581,0.32106926532809105,0.36032731988370914,-3.29184347135761,-3.3419249640784234,-0.21717144156682455,-0.2383331110030084,-0.4269193734652603,-0.431377982367422
1,1.7131390586489008,2.218272830992703,0.29433497603101394,0.10000000000000211,2.493714881562295,2.2446475318523276,0.06498020488315859,0.009858189083611996,-0.7952367985274099,-0.7845112568853368
2,3.3526948320381815,3.794400757958013,0.7347939550463853,0.7999359755262978,0.6450247437639199,0.5975517835883462,0.4111365807411089,0.5883953811447027,-2.659712213438965,-3.5
3,3.5743178128450124,3.491376116774844,0.2368323918845044,0.2933310617138184,-0.8494687036787407,-0.9913780486217084,-1.7939820613111872,-1.930437832810153,3.3600259840486215,3.5
4,1.575942408420834,0.7997833049826859,0.13210908471044908,0.2836502888463181,2.362480221764093,2.1017948124472294,2.1497033158026824,1.772517471677072,1.7380461935160079,-3.5
5,2.981362600648093,3.079847390706059,0.8038285652000745,0.8291033967007979,-2.444714764932412,-2.4910407091027196,-0.334919020549149,-0.4107097462132172,0.2921205689759808,0.3095249040199394
6,0.7290837092628673,1.3329614215587529,0.2540369034981656,0.10000000000000367,-3.089858609136368,-3.5,0.6549794625305762,0.34894073007193427,0.07928151360310276,3.5
7,2.6082257128714215,2.5004871004797424,0.3596784509041327,0.39393612800309996,3.2724087219590503,3.4216512391106804,2.7671537601526945,2.9071406303961087,3.3462857802012853,3.4999991081608663
8,0.662964918430842,0.6465049200824817,0.857851049936143,0.8678510484903434,2.9927936809597666,3.0587685735454757,2.987257501784629,3.1497337799050245,1.082915740030218,1.3873757532138287
9,3.1674240856673483,1.953531024248888,0.6683936904109353,1.0,2.6492194046306015,2.6680935151883975,-1.9577828638143482,-2.0400834248098363,1.482277228182364,1.505912573496804
10,1.1427666831116992,1.1695316140030978,0.1088498619882629,0.1,1.3990622452423063,1.276474081134174,-1.2827016120525374,-1.1108782536048893,1.8552306729532893,1.8123455824978514
11,3.0141974158265206,3.1000888277567125,0.40597596009484443,0.4012671291609602,3.324602929822537,3.5,-0.06455759525594851,0.0011958549424058514,3.4859727906722204,3.5
12,0.8158618819851956,1.4738977571692418,0.2901612009191958,0.1,-0.06931999820507062,-0.1783307523059188,3.3871595285180094,2.8071536517975995,1.385970181376253,1.0116188217141668
13,2.871195302176988,3.008537331217509,0.6834480330471446,0.651172700402299,0.6251251299439359,0.6513186595454905,3.105470758495685,3.012385762694848,-2.6028476975421677,-2.4886914411092347
14,1.0715126130508938,1.0666721104771313,0.6526275723031884,0.6536201696600574,0.7014738291230307,0.00996661368001953,-0.357007091243282,-0.30635033908618037,2.495565771205211,2.440084709536973
15,4.5571685616289965,2.174933740471591,0.318731364958198,1.0,2.6988224447601414,2.423873025260245,0.9328346179680597,0.841930839899038,-0.2748860126002419,-0.29932266509152705
16,1.1899459533693961,1.1546649619675131,0.3715674935311341,0.3900020032411179,1.0581569155132287,1.0983015190297503,3.313867552848307,3.299366104406011,-1.327922817524765,-1.2187187116677476
17,1.3789441090186565,1.3330665788922549,0.5544457497392922,0.5711186193237132,-2.6090380668063142,-2.6589921505784213,2.0097117884034237,1.8838447382020502,-2.02817439744573,-1.8991203222199846
18,4.302931987741262,4.6530338292909015,0.229737165011637,0.15584609822464535,-0.7443460196339128,-0.7441053757064643,-1.6841365346295407,-1.6441302353672256,-2.2951997012152536,-2.3760297847956298
19,3.7403334644620507,5.0,0.9458875063849873,0.9030911976812309,0.6740122911453388,0.7661455933624913,-2.247364809843762,-3.5,-2.888688084047769,-3.4999999708116745
20,3.881801961628233,3.9203921917836952,0.20373566117941824,0.2101983346840684,2.9552829139673245,3.0466458241911685,2.7774786726243033,2.7710523744825304,0.28028594432690423,0.3505819564392454
21,1.4867212616192473,1.5056424385918579,0.5342422487070675,0.5279229926402875,-2.2219644150659685,-1.7815846476691881,-2.721525698346461,-3.0470405246466026,-0.8323382579007942,-0.9355138617829919
22,4.428729916895062,4.695250299632539,0.1974658855529723,0.18898619648524081,0.40699248117145737,0.39527709660595334,0.4167854624197833,0.38701865837005406,2.366465293503954,2.4815622122184147
23,2.231685504099936,0.7980549298395387,0.7425849286192061,0.9884263703864229,2.4866151730677153,-3.4353459669796713,-2.3433114402255093,-1.5274413390641302,-2.42495079215242,-1.5411198504620822
24,2.976099294829549,2.880860008330483,0.34204675321988626,0.4188431208552192,2.8914126056501845,3.00391318412016,2.649764051771246,2.878104068403882,0.3892196431387288,0.308343663700556
