,threshold_true,threshold_estimate,ndt_true,ndt_estimate,mu1_true,mu1_estimate,mu2_true,mu2_estimate
0,4.4431523133462125,4.802515776296569,0.6630604948742546,0.6364244946874215,-0.9096170794096944,-0.9018894506794696,-4.572086215375991,-4.862231669002543
1,1.4523748777115937,1.4627301218461928,0.2020147077362759,0.2020589559933128,0.5456143144679402,0.5274052829809661,3.4504421848739444,3.4479087206019847
2,4.116332365530563,3.9944929110192224,0.287150163000295,0.2714251198178641,2.211921934188412,2.068784145296576,1.97724128149479,1.89404346673313
3,5.366458383881891,5.069095911352549,0.8426377344174668,0.9048562921793396,4.423285122369283,4.4263025536502685,-5.38119077929136,-5.482878021684903
4,4.369446398617255,4.505055476533904,0.5604546044617057,0.5423371940601586,5.4282857506123,5.444733700671,3.625435747703731,3.6364575307510094
5,0.7923137064031696,0.7693970617085,0.2999938271127159,0.3089938265667563,0.2660303311473977,0.3743906686655344,2.042495694009176,1.805997080285788
6,5.01530231883144,5.494299888692427,0.551107490992482,0.425581231684602,0.9284839999540622,0.929610502099077,2.0844046815915567,2.058677123803164
7,5.016658535260181,4.900700875878209,0.6968459893503598,0.7303973527617262,-3.514439977216288,-3.600818277370706,5.165442465981922,5.315075378240617
8,3.1603578001547032,3.196043278075757,0.584616890032007,0.586397684422104,-2.367363264201087,-2.5169555617313697,1.935087504134344,1.972325014057304
9,3.7870514268197706,3.9482522874057984,0.4813150610170885,0.4846769182713192,-3.2488210504253194,-3.3515624943660614,0.9223755937688304,0.9897878495460936
10,1.912457374432172,1.7679538605132634,0.2386184048156445,0.2529824983098444,-0.3270101340255933,-0.2269917772999336,-5.191748403528051,-4.936302296093285
11,4.057460845186235,3.984926150252539,0.8022112745598831,0.8337650260733325,5.314732113522463,5.408434545061305,3.795776777381524,4.006783609103077
12,1.5766274682245902,1.627023177193802,0.2705419500345452,0.2869122290977308,-5.390885366329375,-5.803701370224391,2.4687748483764813,2.57464273119167
13,3.0658248499191347,3.4496272028458086,0.6579270991001956,0.6236415372764499,-2.799883232041846,-2.976663295322272,-3.3703756964073115,-3.589025515893638
14,1.809903592966528,1.868232932577957,0.821879627683527,0.8084148926641067,-0.4896441266769984,-0.6084454911221459,-4.122405730634794,-3.869370730127034
15,4.355919167348857,4.373090464092785,0.3652232486154001,0.3660525506684881,-4.524010205946439,-4.572700170318101,-5.008094059640088,-5.039966223907422
16,3.299708121321048,2.9331020416036986,0.4946388713046233,0.5578145213283012,-3.5567076268718507,-3.6521575806062176,3.548101265091998,3.5118400732459127
17,4.267144314449863,4.515077432146854,0.365750222019076,0.3270990050264956,-5.974187388615513,-5.957039456812267,-3.439078973176651,-3.4078491907349924
18,5.81467529732997,6.0,0.8322883419889604,0.7989444935055063,-1.844331769532301,-1.8829668783643168,2.112620990530658,2.1470283419226623
19,3.662682107838621,3.45891495284648,0.8353813973959112,0.8297612500402508,-3.413621547579795,-3.2273790102374877,-0.8136138741377663,-0.742076418317662
20,5.360031823231034,5.824686777366581,0.6601631551494657,0.647281501245402,-1.5922993568127404,-1.7430004178638112,-3.8775035447493327,-4.187129601943705
21,1.3043591312498013,1.4119873131583913,0.1493449377795993,0.12982893910306625,0.06496399223535887,-0.006694625450878178,1.5749932908283362,1.6945326046340385
22,5.999753130551616,5.408856721882927,0.42333736864215465,0.727777916389367,0.8927799981301905,0.8582478697513922,1.5041901478714426,1.5122034040735923
23,1.7140401072225415,2.042781036954334,0.3769089525196805,0.3131561835509507,-2.1633959689674285,-2.10762604940853,4.640365087104529,4.465381912672371
24,3.15852053612374,2.806714110957483,0.680032015619923,0.7467287727969997,4.233174801742117,4.152433885321611,1.1248385527749738,1.080379740429459
25,4.433380875715925,4.513246036038949,0.8087435936808394,0.8031618566992518,3.9912516612771003,4.0452406620129935,4.968601258080225,4.967969710623733
26,5.2172487011554605,4.92325425326111,0.5515586677493248,0.6451641409611196,-1.9994700350168788,-2.0395673073054383,-2.831876868063802,-2.8736514001190914
27,1.7216944471495916,1.71779225752238,0.4556354000815789,0.46563539695505296,-3.3902689449042906,-3.312422408485586,2.2237819573511253,2.3089074766450204
28,1.5017698343784267,1.3989434012706996,0.5526616786529319,0.5666616756062622,1.1912020945651673,1.1334986965785634,2.228028660595197,2.1410951806553205
29,3.0991959678161844,3.4874424640358215,0.2497821455499837,0.18833102073812663,4.673795331767716,4.616557788919653,-3.226665668690795,-3.132421838013495
